RPM        CT        CP
 3960.000  0.129135  0.126154
 5113.333  0.130291  0.110820
 5920.000  0.134855  0.078688
 7073.333  0.143750  0.082672
 8126.667  0.143098  0.085148
 8973.333  0.152048  0.092200
 9993.333  0.152011  0.091008
11133.333  0.149838  0.091875
11966.667  0.153506  0.093065
13066.667  0.154282  0.091581
14120.000  0.158457  0.092819
15153.333  0.158365  0.093221
16086.667  0.160813  0.098005
16960.000  0.162213  0.099790
17853.333  0.160225  0.104304
18940.000  0.163089  0.101046
20000.000  0.162615  0.095393
