RPM        CT        CP
 4026.667  0.081809  0.104949
 4940.000  0.101221  0.107182
 6026.667  0.107785  0.094676
 6853.333  0.119826  0.111454
 7900.000  0.123340  0.138750
 9040.000  0.131791  0.124442
10180.000  0.132526  0.116822
11193.333  0.135728  0.107065
12066.667  0.137576  0.108410
12966.667  0.141794  0.112846
13926.667  0.141038  0.110251
14966.667  0.142263  0.107076
16026.667  0.145413  0.104924
16953.333  0.147434  0.100097
18046.667  0.147796  0.098812
19040.000  0.149582  0.101327
19980.000  0.149308  0.097720
