xflr5 v6.14

Wing name :, 400mm_root_200_tip_2.4m
Wing polar name :, T2-VLM2
Freestream speed :, 10.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.500,     0.000,   0.029512,   0.000326,   0.009294,   0.009620,  -0.000000,  -0.000000,  -0.000298,   0.000000,   0.000000,   57.6940,    0.3225
   -2.000,     0.000,   0.070000,   0.000481,   0.009840,   0.010321,  -0.000000,  -0.000000,  -0.003373,   0.000000,   0.000000,   37.4610,    0.3182
   -1.500,     0.000,   0.110535,   0.000761,   0.010111,   0.010873,  -0.000000,  -0.000000,  -0.006797,   0.000000,   0.000000,   29.8112,    0.3175
   -1.000,     0.000,   0.151114,   0.001187,   0.010249,   0.011436,  -0.000000,   0.000000,  -0.010587,   0.000000,   0.000000,   25.4963,    0.3174
   -0.500,     0.000,   0.191735,   0.001759,   0.010090,   0.011849,  -0.000000,   0.000000,  -0.014692,   0.000000,   0.000000,   22.6349,    0.3175
    0.000,     0.000,   0.232394,   0.002477,   0.010012,   0.012489,  -0.000000,   0.000000,  -0.019001,   0.000000,   0.000000,   20.5597,    0.3178
    0.500,     0.000,   0.273090,   0.003340,   0.010048,   0.013388,  -0.000000,   0.000000,  -0.023486,   0.000000,   0.000000,   18.9661,    0.3181
    1.000,     0.000,   0.313819,   0.004349,   0.010072,   0.014421,  -0.000000,   0.000000,  -0.028144,   0.000000,   0.000000,   17.6925,    0.3183
    1.500,     0.000,   0.354578,   0.005503,   0.010068,   0.015570,  -0.000000,   0.000000,  -0.032956,   0.000000,   0.000000,   16.6446,    0.3186
    2.000,     0.000,   0.395366,   0.006802,   0.009976,   0.016778,  -0.000000,   0.000000,  -0.037908,   0.000000,   0.000000,   15.7627,    0.3189
    2.500,     0.000,   0.436179,   0.008246,   0.009867,   0.018113,  -0.000000,   0.000000,  -0.042964,   0.000000,   0.000000,   15.0071,    0.3192
    3.000,     0.000,   0.477014,   0.009835,   0.010062,   0.019897,  -0.000000,   0.000000,  -0.048030,   0.000000,   0.000000,   14.3504,    0.3194
    3.500,     0.000,   0.517869,   0.011568,   0.010341,   0.021909,  -0.000000,   0.000000,  -0.053128,   0.000000,   0.000000,   13.7727,    0.3196
    4.000,     0.000,   0.558741,   0.013445,   0.010636,   0.024081,  -0.000000,   0.000000,  -0.058241,   0.000000,   0.000000,   13.2594,    0.3198
    4.500,     0.000,   0.599627,   0.015466,   0.010945,   0.026411,  -0.000000,   0.000000,  -0.063345,   0.000000,   0.000000,   12.7994,    0.3200
    5.000,     0.000,   0.640525,   0.017629,   0.011288,   0.028917,  -0.000000,   0.000000,  -0.068409,   0.000000,   0.000000,   12.3840,    0.3201
    5.500,     0.000,   0.681431,   0.019935,   0.011659,   0.031595,  -0.000000,   0.000000,  -0.073403,   0.000000,   0.000000,   12.0066,    0.3202
    6.000,     0.000,   0.722343,   0.022384,   0.012095,   0.034479,  -0.000000,   0.000000,  -0.078288,   0.000000,   0.000000,   11.6616,    0.3203
    6.500,     0.000,   0.763258,   0.024974,   0.012552,   0.037525,  -0.000000,   0.000000,  -0.083055,   0.000000,   0.000000,   11.3447,    0.3204
    7.000,     0.000,   0.804174,   0.027705,   0.013047,   0.040752,  -0.000000,   0.000000,  -0.087676,   0.000000,   0.000000,   11.0524,    0.3204
    7.500,     0.000,   0.845087,   0.030577,   0.013590,   0.044167,  -0.000000,   0.000000,  -0.092127,   0.000000,   0.000000,   10.7815,    0.3205
    8.000,     0.000,   0.885994,   0.033589,   0.014288,   0.047877,  -0.000000,   0.000000,  -0.096361,   0.000000,   0.000000,   10.5297,    0.3204
    8.500,     0.000,   0.926894,   0.036741,   0.015420,   0.052160,  -0.000000,   0.000000,  -0.100303,   0.000000,   0.000000,   10.2947,    0.3204


